id,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,arrival_date
1,Resort_Hotel,14,0,2,2,BB,GBR,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,240,NULL,0,Transient,98,none,1,2015-07-01
2,Resort_Hotel,68,0,4,2,BB,USA,Online_TA,TA/TO,0,0,0,D,E,0,No_Deposit,240,NULL,0,Transient,97,none,3,2015-07-01
3,Resort_Hotel,18,0,4,2,HB,ESP,Online_TA,TA/TO,0,0,0,G,G,1,No_Deposit,241,NULL,0,Transient,154.77,none,1,2015-07-01
4,Resort_Hotel,68,0,4,2,BB,IRL,Online_TA,TA/TO,0,0,0,D,E,0,No_Deposit,240,NULL,0,Transient,97,none,3,2015-07-01
5,Resort_Hotel,37,0,4,2,BB,PRT,Offline_TA/TO,TA/TO,0,0,0,E,E,0,No_Deposit,8,NULL,0,Contract,97.5,none,0,2015-07-01
6,Resort_Hotel,0,0,1,2,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No_Deposit,NULL,110,0,Transient,107.42,none,0,2015-07-01
7,Resort_Hotel,72,2,4,2,BB,PRT,Direct,Direct,0,0,0,A,A,1,No_Deposit,250,NULL,0,Transient,84.67,none,1,2015-07-01
8,Resort_Hotel,127,2,5,2,HB,GBR,Offline_TA/TO,TA/TO,0,0,0,D,I,0,No_Deposit,115,NULL,0,Contract,94.95,none,1,2015-07-01
9,Resort_Hotel,70,2,3,2,HB,ROU,Direct,Direct,0,0,0,E,E,0,No_Deposit,250,NULL,0,Transient,137,none,1,2015-07-02
10,Resort_Hotel,113,2,5,2,BB,NOR,Offline_TA/TO,TA/TO,0,0,0,D,D,0,No_Deposit,156,NULL,0,Transient-Party,67.58,none,2,2015-07-02
11,Resort_Hotel,3,0,1,2,BB,ESP,Online_TA,TA/TO,0,0,0,A,C,0,No_Deposit,240,NULL,0,Transient,88.2,parking,0,2015-07-02
12,Resort_Hotel,0,0,1,2,BB,PRT,Direct,Direct,0,0,0,H,H,0,No_Deposit,NULL,NULL,0,Transient,147,none,0,2015-07-02
13,Resort_Hotel,14,0,2,2,BB,USA,Online_TA,TA/TO,0,0,0,A,C,0,No_Deposit,242,NULL,0,Transient,98,none,1,2015-07-02
